Zip Code,Region Name,Size Rank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
102001,United States,0,106409,106560,106737,106910,107128,107351,107614,107870,108145,108338,108579,108836,109162,109491,109800,110132,110425,110733,111009,111356,111739,112301,112817,113314,113650,114015,114390,114796,115251,115764,116315,116785,117204,117564,118031,118551,119168,119757,120421,121098,121715,122270,122817,123470,124155,124864,125565,126267,126983,127695,128382,129067,129795,130561,131336,132129,132951,133767,134519,135262,136014,136776,137513,138233,138961,139695,140440,141156,141859,142562,143299,144054,144805,145565,146363,147202,148057,148904,149778,150685,151623,152544,153450,154340,155236,156142,157029,157924,158882,159928,161026,162113,163198,164345,165598,166934,168275,169691,171168,172737,174276,175807,177318,178856,180462,182117,183767,185385,187079,188790,190581,192383,194206,196025,197745,199400,200894,202228,203443,204625,205743,206776,207641,208330,208861,209203,209464,209635,209751,209852,209904,209907,209826,209578,209187,208643,208119,207487,206768,205875,204928,203818,202489,200979,199342,197737,196110,194489,192731,191049,189358,187614,185805,184044,182568,181142,179754,178390,177222,176323,175579,174941,174442,174246,174165,174117,173940,173815,173797,173737,173481,172829,172042,171124,170227,169228,168286,167345,166451,165511,164504,163505,162638,162045,161616,161305,160959,160648,160348,160152,160038,160116,160354,160735,161141,161594,162101,162680,163347,164118,164957,165895,166880,167968,169096,170287,171535,172816,174098,175343,176528,177595,178585,179509,180404,181112,181699,182229,182816,183390,183894,184385,184958,185658,186392,187097,187818,188659,189534,190420,191210,191992,192826,193691,194535,195298,196137,197051,197995,198838,199716,200613,201581,202576,203581,204595,205614,206703,207767,208812,209833,210931,212086,213231,214381,215475,216594,217757,218983,220245,221486,222669,223870,225093,226338,227539,228664,229754,230794,231773,232685,233571,234446,235301,236043,236721,237360,238053,238779,239549,240338,241143,241961,242760,243578,244440,245386
394913,"New York, NY",1,189376,189043,188739,188553,188461,188504,188629,188746,188884,189151,189760,190472,191143,191637,192261,192878,193484,193983,194474,195192,196018,196924,197521,197984,198399,198941,199525,200101,200907,201922,203162,204263,205420,206377,207561,208831,210465,212244,214112,216222,218080,219903,221524,223398,225341,227437,229711,232149,234561,236863,239172,241528,243919,246316,248693,251108,253470,255821,258274,260683,263214,265697,268243,270635,273048,275516,278307,281100,283893,286717,289447,292091,294776,297573,300635,303832,307591,311583,315581,319424,323439,327425,331479,335710,339727,343615,347191,350820,354190,357295,360262,363394,366605,370247,373866,377650,381203,385165,389339,393910,398438,403120,407859,412661,417192,421515,425624,429699,434467,439301,444100,448532,453113,457926,462823,467412,471984,475877,479610,482246,484499,486212,488049,489343,489760,489416,488111,486579,484688,483002,481609,481329,480625,480097,478384,476693,474926,473022,471778,470384,468871,467376,465428,462870,460128,456421,453174,449751,446886,443851,440413,436798,433356,429473,425610,421881,418495,415896,413141,410683,408106,406425,405379,404956,404782,404708,404778,404378,404143,403630,403872,403979,404054,403367,402081,400472,398517,397091,395701,394714,393130,391451,389196,387207,385328,383719,382266,380650,379265,377773,376340,375099,374121,373569,373331,373147,373012,372901,372867,373245,373853,374429,375231,376044,377462,378975,380511,382144,383763,385562,387539,389453,391112,392946,394486,396132,397159,398178,399095,399908,400742,401454,402079,402433,403113,403753,404770,405398,406301,406994,407960,408781,409570,410405,411278,412643,413712,414473,415107,415969,417262,418309,419308,420403,421714,423149,424674,426179,427803,429735,431384,433219,434506,436789,439087,441881,444368,446615,448556,450232,451891,453939,456276,458737,461180,463121,464864,465967,467177,468683,470577,472419,473751,474376,474686,474894,475237,475533,475912,476471,477020,477381,477515,477746,478297,479081,479971
753899,"Los Angeles-Long Beach-Anaheim, CA",2,192140,192143,192208,192359,192348,192275,192216,192231,192403,192107,191555,191250,191507,192098,192628,193285,194242,195317,196356,197328,198410,200188,202385,204443,205974,207401,208765,209844,211261,213001,214946,216827,218319,220105,221675,223385,224879,226389,228471,230729,232274,233442,234781,236755,238822,240558,242297,244269,246557,248936,251143,253307,255712,258114,260399,262550,264858,267077,269426,271641,274181,276463,278717,280682,282829,285142,287861,290409,293163,295986,299201,302604,306241,309912,314188,319132,324365,329458,334591,340218,345872,351017,355621,360245,364780,369742,373994,379388,385438,392448,398765,406041,413296,421976,430810,440253,450442,461915,473873,484078,492594,500951,509525,516784,524060,530835,538997,547147,555117,561720,568258,576778,586002,595951,605228,612891,620167,626178,631544,636104,640110,644747,648014,649279,650511,648922,648356,646977,646791,646068,644821,642954,641391,638327,635476,630234,623549,614812,605948,599155,591646,583881,572851,561065,546676,532372,519827,508993,499472,492158,484363,475032,463235,454634,450182,446824,443558,440729,438176,437115,437188,438338,439992,443004,447330,448622,447248,447113,449384,453298,452814,450655,447197,444411,441396,437142,434298,432919,432562,430531,427555,422334,420951,419976,419107,416361,413689,413375,412506,411332,409730,409032,409126,410905,412670,415523,418465,422499,427804,432251,438056,443780,452560,461915,472198,481131,489805,497395,506304,514173,520194,525354,528957,533121,533875,534184,533591,534024,534513,536163,536017,536629,537350,540351,543032,546555,550695,555055,557601,560284,563025,565833,569058,572389,576413,579116,583821,586433,589884,591779,595955,599621,602859,605661,609339,613332,617213,620088,621839,625455,628046,631770,634022,637794,641571,645019,647985,650968,654227,659569,665068,669793,674032,678175,682036,684033,685934,687591,688817,688952,690057,691396,691903,691860,689222,686903,684923,685436,686283,687894,690303,693953,697273,700235,704585,710138,718974
394463,"Chicago, IL",3,162321,161707,161373,160886,161449,162263,163930,165251,166231,166515,166456,166607,166455,166617,166338,166021,163584,160596,156236,152862,150420,149524,149405,149338,149312,149247,149168,149493,150933,153018,155749,158065,159830,160637,161101,161576,162232,162787,163731,164731,165687,166304,167009,167885,168823,170016,171244,172497,173608,174701,175755,176780,177926,179180,180435,181741,183105,184430,185550,186684,187900,189288,190585,191721,192827,193992,195315,196602,197767,198786,199892,201161,202249,203409,204544,206004,207385,208699,209925,211002,212292,213557,214997,216277,217693,218866,219932,220918,222135,223568,224948,226357,227584,229073,230424,231818,233281,234862,236717,238441,240152,241597,243162,244877,246757,248449,250198,251906,253777,255640,257618,259561,261413,263445,265445,267264,268911,270357,271854,273089,274351,275404,276292,276926,277618,278113,278527,278740,279104,279650,280373,280147,279884,278705,278290,277149,276633,275467,274722,273800,272741,271785,268979,268156,265011,264174,260658,259189,255803,253928,250653,247992,244122,240052,237016,233650,231526,228475,226326,224433,222934,220882,219316,217888,217746,217121,216932,215264,215090,213580,213611,210936,209608,207412,206306,203938,201996,200008,198498,197149,194917,193547,191374,191055,189800,189255,187067,186110,184341,183483,181552,181245,180737,180790,180233,179391,178674,178063,178554,179279,180049,181012,182246,183070,184316,185237,187006,188647,190902,192821,194998,196109,197533,198302,199571,200109,200310,200770,201684,202656,203117,203759,204067,204733,205158,205581,205682,206319,207391,208367,208552,208751,209004,209380,209665,210046,210660,211400,212613,213580,214363,214949,215788,216888,217904,218735,219537,220556,221686,222980,224050,225374,226529,227557,228213,228693,229410,230298,231500,232607,233832,234969,235783,236233,236696,237348,238280,239008,239712,240453,241060,241632,241890,241960,242182,242488,242917,243265,243491,243848,244063,244154,244153,244137,244226,244415,244624
394514,"Dallas-Fort Worth, TX",4,113140,113481,113727,113913,114131,114357,114688,115024,115355,115412,115494,115517,115690,115793,115995,116218,116477,116765,117109,117385,117739,118197,118654,119021,119129,119346,119594,119976,120330,120702,120633,120635,120555,121148,121932,122925,123890,124712,125560,126322,126846,127196,127892,128738,129551,129865,130190,130437,130682,130862,131032,131216,131508,131952,132404,132810,133189,133420,133247,133062,132956,133124,133144,133217,133432,133648,133801,133838,133986,134205,134635,135012,135510,135970,136662,137358,137960,138446,138878,139383,139920,140169,140176,139949,139859,139948,140201,140450,140677,140977,141388,141803,142115,142834,144184,146157,147746,148636,148980,149299,149764,150213,150711,151131,151640,152386,152637,152632,152444,152654,153071,153483,153897,154253,154201,154342,154323,154573,155035,155478,155930,156330,156762,157035,157117,157234,157860,158263,158701,158702,158638,158612,158740,158955,159122,159272,159638,160157,160493,160605,160607,159930,158918,157643,156796,156085,155571,155250,154769,153977,153024,152151,151487,151366,151681,152110,152184,152130,151897,151826,151738,151893,152052,152620,152940,152996,152780,152565,152708,152619,152580,151884,151172,150240,149551,148672,148193,147858,147309,146705,145794,145263,144624,144469,144480,144714,144796,144700,144384,144220,144663,145219,145846,146240,146758,147347,147871,148342,148774,149416,150138,151020,151648,152466,153338,154399,155461,156606,157739,159044,160354,161666,162840,163762,164764,165606,166461,167267,168238,168971,170013,170931,172173,173353,174653,176176,177638,179313,180933,182628,184301,186064,187600,189051,190405,191914,193586,195162,196748,198278,199989,201836,203591,205540,207217,208942,210566,212375,214236,215876,217585,219053,220760,222369,224039,225481,226942,228643,230516,232261,233720,235063,236648,238449,240136,241554,242954,244186,245362,246094,247075,248076,249439,250617,251312,251705,251954,252542,253044,253660,254304,255076,255509,255856,255972,256267,256718
394974,"Philadelphia, PA",5,121051,120891,120799,120753,120730,120774,120861,120987,121088,121217,121386,121615,121866,122116,122352,122561,122723,122835,122919,123048,123232,123432,123632,123823,123968,124038,124085,124163,124410,124695,125043,125242,125446,125610,125849,126138,126499,126911,127331,127805,128181,128549,128875,129436,130115,130874,131608,132216,132827,133383,133972,134481,134982,135523,136153,136730,137329,137943,138670,139465,140236,141004,141756,142596,143412,144264,145096,146096,146975,147951,148895,150039,151218,152388,153611,154821,156280,157831,159523,161071,162800,164450,166185,167765,169444,171133,172815,174521,176178,177975,179776,181717,183436,185192,187018,189074,191190,193418,195764,198300,200988,203500,205755,207898,210331,213076,215553,217817,219949,222389,225025,227718,230385,233024,235779,238400,240886,242898,244780,246381,248025,249362,250598,251551,252333,252909,253261,253459,253479,253564,253598,253854,253913,254300,254432,254630,254355,254092,253863,253627,253265,252579,252111,251452,250809,249510,248046,246432,245024,243632,242099,240605,239158,237828,236642,235677,234812,233854,232908,232001,231424,231047,231113,231358,231485,231569,231226,230810,230420,230436,230554,230321,229487,228253,226712,225015,223534,222288,221369,220232,218773,217030,215355,214083,213212,212401,211631,210850,210195,209321,208417,207796,207524,207258,206775,206192,205784,205607,205546,205583,205615,205849,206084,206440,206946,207702,208605,209511,210270,211052,211696,212302,212689,213147,213612,213840,213632,213575,213686,213947,213912,213857,213960,214234,214624,214848,215045,215433,216018,216357,216447,216581,216979,217354,217489,217530,217516,217657,217941,218210,218641,219127,219970,220679,221384,221978,222727,223470,224397,225396,226207,226754,227238,227943,228688,229323,230054,230878,232002,233012,233979,234735,235776,237015,238349,239345,240175,240931,241645,242493,243215,244144,244876,245665,246210,246789,247275,247933,248629,249465,250278,250965,251571,252080,252729,253425,254206
394692,"Houston, TX",6,110533,110674,110771,110809,110864,111029,111215,111478,111759,111724,111578,111443,111536,111626,111797,112024,112272,112441,112629,112883,113133,113791,114409,115046,115246,115496,115740,116045,116314,116583,116867,116894,116903,117028,117658,118550,119435,120233,120969,121723,122448,123013,123480,123994,124590,125122,125379,125427,125574,125628,125769,125842,126117,126428,126690,127133,127562,127750,127726,127343,127149,127126,127265,127410,127269,127346,127532,127759,127893,128045,128304,128865,129489,130064,130585,131058,131741,132277,132756,133097,133438,133850,134075,134170,134260,134385,134719,134921,135269,135489,135828,136139,136512,137032,138030,139478,140636,141805,142318,143298,143948,144887,145684,146453,147301,148021,148673,148958,149228,149198,149494,149545,149649,149576,149487,149643,149641,149896,150020,150366,150645,151165,151587,152094,152625,153268,153969,154524,155125,155622,155847,155857,156001,156347,156853,157089,157543,157925,158295,158554,158823,158624,158213,157662,157329,156760,156119,155619,155050,154476,153962,153224,152361,151729,151700,151745,151657,151622,151870,152345,152680,152766,152578,152745,153030,153238,153284,153553,153824,153886,153430,152423,151215,150330,149812,149586,149235,148751,147962,146838,145876,145084,144678,144504,144555,144574,144591,144031,143709,143604,143906,144290,144491,144833,145104,145592,146065,146481,146691,147289,147902,148738,149590,150953,152548,154072,155328,156544,157811,159181,160708,162221,163633,164962,166282,167239,168075,168884,170199,171679,173415,175105,176598,177939,179326,180666,181905,183316,184755,186124,187191,187932,188566,189205,190137,190858,191500,192343,193159,193683,193918,194473,195133,195949,196440,196889,197194,197977,198878,199382,199937,200616,201430,201924,202370,202796,203158,203576,204042,204606,205138,205721,206170,206781,207842,208962,209818,210431,211356,212389,213212,213763,214283,215337,216201,216797,216839,217111,217585,218217,218692,219044,219528,220052,220566,220699,221016
395209,"Washington, DC",7,188263,188119,187944,187756,187650,187665,187808,187861,187931,187690,187549,187348,187444,187408,187497,187662,187785,187742,187662,187756,187845,188289,188702,189249,189459,189695,189849,190016,190233,190563,190785,190989,191345,191944,192800,193609,194424,195164,196014,196879,197673,198594,199619,200866,201984,203098,204100,205090,206082,207239,208499,209990,211629,213321,215166,217003,219117,221154,223139,225216,227498,229883,232197,234396,236650,238946,241289,243828,246387,249016,251518,254119,256839,259759,262793,265942,269266,272499,275717,278824,282053,285203,288674,292153,295503,298454,301394,304300,307310,310552,314478,318718,322837,326789,331276,336056,341234,346706,352935,360022,367375,374887,381447,387728,394069,401290,407980,414582,421679,429761,437804,445075,451690,458491,465354,471190,476326,480462,484538,488313,490667,492009,492245,492191,491512,489045,486196,484054,482698,481243,479536,477841,476515,474517,471328,467619,463850,461159,457692,453474,447915,442683,437165,430889,423934,416107,409385,402945,397351,391540,386292,381343,376732,371469,366672,362282,358646,356380,354962,354268,353422,352438,351969,352262,353384,354868,355310,356137,357034,358475,358475,357892,356921,356704,356208,354774,353224,352123,352340,352003,351631,350423,350101,349545,349485,348885,348333,348330,348356,348321,348428,349471,350735,352041,353454,355221,356824,358104,359902,362152,364854,367698,369919,371836,373690,376315,378786,381316,383987,387376,390275,392721,394193,395754,397258,398521,399556,399692,399797,399970,400154,400269,400228,400309,400488,400241,400811,401627,402077,402288,402524,402983,403260,403346,403854,404290,405062,405648,405332,405296,406173,408218,409741,410908,411794,413171,414220,415348,416797,418822,421357,422792,423769,423804,424692,425739,427511,428914,430478,432079,432938,433679,434123,435641,437300,439459,441245,442903,443723,444290,444634,444938,446091,447569,449334,450528,451238,452020,452787,453634,454813,456249,457810,459343,460487,461300,461952
394856,"Miami-Fort Lauderdale, FL",8,125543,125823,126211,126593,126917,127061,127218,127425,127685,127614,127625,127653,128036,128365,128621,128863,129130,129427,129613,129798,130016,130865,131562,132172,132195,132368,132211,132137,132210,132916,133783,134460,134911,135003,135154,135331,135760,136258,137276,138196,139006,139133,139290,139637,140117,140764,141525,142476,143465,144262,144955,145639,146319,147206,148097,149179,150333,151510,152716,154049,155440,157031,158602,160395,162287,164370,166536,168535,170339,172015,173682,175227,176885,178527,180360,182246,184295,186183,188077,189982,192457,194969,197662,200320,203080,205658,207973,210127,212362,214915,217644,220654,223309,226401,229328,232457,235333,238736,242475,246510,250771,255190,259900,264591,269796,274736,280192,285710,291341,297252,303570,310857,318011,325056,331364,337103,342312,347790,352503,357733,363402,368674,372712,374970,376541,377480,377619,378271,378065,377826,376750,374950,371707,368048,363737,359377,354817,350155,346142,340806,335498,328410,321613,314075,307372,300419,294016,287043,279737,272212,264457,257281,250679,244650,239071,233429,228268,223397,219692,216685,214363,212243,210947,209900,208764,208211,207825,207975,207480,206886,205490,204235,202702,201321,199288,197497,195949,194285,192831,191349,190424,189377,188468,187507,186779,186234,186145,186217,186294,186474,186346,186623,186920,187827,189090,190397,192075,193818,195628,197014,198530,200564,203338,206338,209795,212983,215839,218795,221862,225166,228306,232214,235917,239335,241633,243893,245278,247141,248876,251096,252769,254243,255943,256917,258249,259338,261354,262948,264834,266348,268067,269362,270966,272925,274716,276865,278725,280905,282696,284446,286300,288186,290522,292855,294874,296430,297956,299797,301715,303475,305055,306329,307968,309564,311112,312532,314591,316662,318902,319960,321371,322352,324283,326298,328018,329950,331343,333059,334287,335509,336224,337958,339667,341407,341223,341037,341123,341404,342002,342454,343068,343813,344910,345765,346500,347505,349647
394347,"Atlanta, GA",9,122098,122580,123099,123559,124013,124441,124909,125387,125906,126239,126615,127012,127564,128080,128506,128990,129565,130211,130825,131346,131878,132744,133599,134379,134816,135375,136009,136708,137322,137917,138519,139294,139995,140640,141247,142005,142860,143682,144544,145447,146297,147157,147990,148846,149678,150450,151307,152219,153274,154298,155301,156245,157267,158282,159360,160329,161384,162364,163291,164097,164843,165649,166408,167192,167947,168696,169384,170070,170732,171398,172075,172674,173270,173769,174285,174737,175139,175537,175951,176369,176696,177065,177390,177806,178095,178401,178696,179018,179366,179687,179994,180321,180710,181015,181334,181658,182143,182564,182913,183273,183737,184247,184781,185256,185729,186263,186843,187414,187952,188584,189269,189870,190428,191049,191731,192481,193140,193874,194505,195064,195483,195861,196333,196900,197438,197891,198252,198658,199142,199652,200133,200655,201016,201243,201195,201040,200697,200164,199553,198866,198328,197359,196209,194658,193424,192171,190835,189238,187510,185874,184056,181762,178759,175933,173273,170971,168314,165846,163730,162363,161298,160288,159098,158246,157892,157481,156935,156254,156068,156001,155626,154192,152193,149796,147834,145915,144431,142828,141508,139670,137694,135276,133127,131584,130948,131064,131175,131010,130136,129614,129103,129626,130237,131207,132179,133220,133745,133755,133914,134795,136127,137686,139409,141148,142789,144582,146476,148373,150544,152929,155274,157168,159098,160664,162088,163060,164074,164905,165659,166622,167457,168341,169087,169919,170699,171503,172268,172928,173694,174693,175884,176824,177798,178744,179649,180491,181225,182266,183301,184685,186032,187213,188037,188759,189588,190313,191347,192470,193911,194964,196133,197203,198399,199656,201161,202761,204110,205687,207158,208861,210528,212454,214274,215678,217004,218412,220100,221773,223417,224988,226622,228106,229298,230218,231046,232118,233238,234359,235180,235987,236932,237840,238684,239502,240492,241627,242853
