"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02"
9,"California",1,162216,162042,161908,161834,161839,161888,162063,162265,162544,162586,162694,162882,163360,163927,164524,165252,166028,166895,167675,168581,169613,171042,172624,174143,175439,176609,177820,178917,180111,181410,182784,184047,185122,186385,187723,189125,190390,191710,193270,194925,196395,197715,199264,201139,203207,205223,207150,209128,211250,213558,215956,218432,221075,223809,226455,229090,231752,234309,236963,239735,242664,245294,247614,249669,251688,253750,255914,258055,260209,262396,264760,267195,269828,272648,275949,279688,283652,287545,291474,295642,299942,304072,307857,311651,315462,319407,322814,326559,330690,335508,340326,345492,350645,356576,362895,369622,376509,384229,392976,401595,409626,417264,424888,432088,439431,446226,453569,460718,468302,474969,481156,487448,493976,500733,507137,512350,516986,520838,524098,527199,529504,532062,533398,533882,533535,532066,530334,528822,527340,525855,523850,521626,519331,515864,512110,507542,502735,497021,490343,483570,476013,468464,459089,448416,436779,425321,414727,404112,394149,385086,376983,368038,359305,351207,346135,341682,337642,334009,331438,330172,329330,328768,328818,330374,332383,333916,333806,334693,335955,337754,337418,336267,334725,333515,331876,329612,327653,325980,324547,322366,320147,317109,315306,313902,312530,310917,309125,308420,307282,306598,306096,306323,307074,308662,310628,312978,315938,319355,323565,327449,332568,337610,343578,350163,357507,365027,372618,380104,387367,393808,399403,404560,409030,413553,417279,419495,420590,421245,422113,423443,424175,425444,426799,429224,431022,432948,435123,438365,441092,443940,446154,448272,450814,453746,456961,459499,462999,466086,468760,470479,473167,475765,478521,480936,483977,486784,489821,492394,494607,497017,499622,502750,505601,508865,512371,515298,518034,521038,524510,528648,532939,537460,541677,545279,547847,549923,551841,554037,555731,556875,557796,558751,558899,558685,557210,556313,556077,556755,557495,558548,560150,562326,564656,567064,570411,574288,579710
54,"Texas",2,98190,98332,98450,98541,98656,98807,98982,99199,99434,99452,99448,99430,99561,99648,99776,99906,100084,100266,100516,100741,100980,101456,101911,102361,102484,102691,102900,103201,103430,103646,103713,103746,103751,103972,104461,105133,105880,106572,107259,107916,108477,108941,109481,110074,110670,111059,111340,111509,111697,111734,111769,111763,111947,112192,112440,112733,113053,113273,113263,113097,112999,113085,113192,113319,113367,113472,113594,113683,113769,113878,114116,114464,114884,115309,115796,116276,116771,117191,117577,117973,118360,118637,118724,118708,118747,118880,119118,119342,119619,119857,120167,120442,120759,121330,122364,123717,124856,125702,126195,126791,127336,128003,128612,129201,129781,130406,130811,131061,131239,131496,131890,132217,132558,132840,133023,133326,133558,133920,134324,134779,135218,135736,136269,136814,137284,137788,138448,139012,139590,139991,140287,140492,140809,141170,141586,141886,142355,142805,143201,143466,143697,143496,143098,142543,142199,141812,141440,141149,140745,140249,139708,139139,138587,138294,138277,138347,138229,138073,137934,137904,137824,137773,137704,137913,138084,138181,138165,138185,138286,138317,138204,137743,137219,136691,136265,135755,135330,134921,134398,133828,133257,132795,132370,132188,132163,132259,132282,132157,131990,131964,132202,132549,132848,133171,133526,133954,134336,134628,134911,135364,135953,136643,137282,138036,138877,139739,140610,141504,142443,143479,144570,145652,146609,147477,148371,149164,149930,150729,151649,152526,153473,154418,155392,156364,157373,158394,159408,160494,161602,162635,163651,164648,165615,166504,167449,168310,169211,170155,171070,171960,172821,173856,174832,175892,176819,177807,178701,179813,180993,182059,183119,184056,185059,185907,186772,187538,188316,189152,190136,191126,192021,192796,193601,194608,195742,196844,197871,198789,199739,200519,201428,202218,203164,204078,204946,205601,206098,206672,207267,207935,208556,209221,209676,210121,210423,210784,211114
43,"New York",3,118489,118391,118325,118246,118170,118127,118133,118169,118249,118202,118416,118646,118944,119043,119171,119419,119657,119891,120052,120400,120769,121505,121925,122326,122389,122592,122796,122878,123201,123606,124257,124632,125021,125206,125626,126079,126795,127570,128398,129497,130379,131250,131861,132546,133162,133763,134617,135609,136726,137707,138665,139391,140061,140697,141461,142402,143400,144425,145251,146073,146872,147766,148672,149631,150627,151616,152686,153791,154949,156126,157285,158327,159403,160495,161688,162918,164190,165444,166665,167950,169349,170742,172186,173879,175464,176970,178291,179629,181183,182861,184600,186055,187407,188856,190320,191650,193042,194600,196390,198225,199928,201636,203254,205115,206885,208701,210528,212275,214141,215971,217762,219580,221425,223400,225342,227116,228918,230484,231937,233236,234414,235439,236444,237287,238001,238401,238695,238866,239029,239132,239266,239444,239491,239651,239695,239825,239903,239915,240119,240331,240333,240279,239935,239616,239051,238317,237448,236426,235442,234404,233114,231733,230469,229277,228216,227140,226192,225270,224362,223576,222916,222539,222422,222417,222430,222287,222253,222170,222375,222496,222798,222840,222566,221985,221168,220456,219702,219225,218723,218276,217496,216700,215713,214952,214399,214034,213780,213378,213038,212650,212184,211813,211535,211507,211555,211663,211819,211991,212084,212281,212540,212837,213305,213691,214273,214790,215434,216063,216611,217130,217763,218407,218991,219558,220093,220724,221171,221539,221800,221977,222195,222435,222747,223097,223553,223971,224251,224408,224671,225050,225537,226110,226682,227269,227718,228089,228320,228600,229218,230017,230777,231391,231861,232413,233057,233749,234585,235462,236542,237495,238211,238809,239668,240808,242168,243307,244323,245256,246209,247284,248239,249376,250464,251572,252533,253437,254437,255649,256974,258328,259497,260453,261261,262024,262801,263643,264369,265102,265664,266150,266588,267030,267566,268180,268903,269562,270242
14,"Florida",4,103967,104188,104429,104660,104866,105011,105165,105335,105544,105578,105671,105773,106094,106393,106661,106920,107194,107511,107797,108131,108464,109176,109769,110299,110418,110611,110762,110974,111277,111748,112302,112706,113025,113129,113355,113628,114106,114592,115251,115937,116552,116989,117370,117886,118451,119048,119652,120331,121063,121757,122392,122998,123616,124310,125050,125846,126669,127521,128409,129307,130222,131162,132121,133157,134226,135355,136494,137617,138713,139787,140812,141823,142851,143924,145033,146137,147298,148431,149634,150858,152255,153711,155256,156779,158303,159764,161138,162465,163799,165310,166998,168826,170607,172437,174300,176237,178157,180302,182704,185371,188280,191289,194342,197387,200651,204133,207840,211747,215935,220430,225335,230696,236174,241620,246754,251723,256473,260889,264818,268703,272541,275952,278511,280031,280919,281036,280861,280409,279528,278491,277247,275740,273711,271333,268454,265252,261903,258669,255361,251841,248185,244173,240026,235496,231172,226563,222357,218035,213721,209442,205070,200553,196197,192113,188459,184954,181397,178231,175287,173051,171031,169207,167715,166850,166109,165501,164793,164321,163876,163364,162591,161485,160172,158761,157253,155593,154017,152406,150908,149333,147909,146551,145482,144507,143833,143317,143026,142835,142688,142655,142681,142977,143459,144036,144697,145477,146368,147310,148322,149405,150665,152157,153843,155573,157325,159265,161218,163323,165489,167707,169692,171575,173283,174874,176225,177544,178668,179708,180584,181451,182073,182784,183771,184911,186049,187098,188259,189413,190575,191782,193084,194320,195731,197196,198663,199953,201391,202922,204560,205965,207381,208717,210202,211770,213270,214628,215872,217294,218663,220113,221439,222833,224371,225901,227433,228803,230314,231778,233239,234596,235957,236984,238115,239477,241065,242664,243994,245253,246465,247713,248887,250007,251188,252280,253006,253399,253784,254200,254769,255463,256142,256851,257642,258485,259282,260302,261593
21,"Illinois",5,139159,138637,138326,137895,138352,139055,140522,141731,142651,142962,142955,143084,142958,143102,142901,142643,140608,138064,134286,131287,129072,128204,128030,127927,127884,127820,127754,128038,129223,130928,133186,135112,136584,137257,137631,138016,138524,138953,139698,140499,141276,141793,142424,143197,144029,145034,146040,147050,147949,148825,149666,150456,151363,152336,153334,154361,155439,156472,157375,158291,159269,160380,161436,162400,163313,164303,165367,166445,167389,168273,169198,170292,171233,172221,173160,174329,175450,176518,177541,178466,179562,180626,181824,182866,184028,185000,185930,186805,187904,189180,190426,191601,192637,193863,195039,196255,197534,198919,200492,201947,203321,204457,205684,207070,208599,209942,211294,212622,214079,215528,217033,218554,220028,221686,223300,224789,226144,227394,228688,229773,230828,231695,232460,233029,233652,234083,234448,234669,235005,235483,236050,235908,235781,234995,234780,233987,233648,232837,232326,231623,230776,229905,227706,226950,224546,223809,221108,219840,217142,215520,212901,210740,207718,204652,202344,199801,197994,195553,193709,192235,191032,189465,188225,187125,186967,186402,186108,184772,184682,183630,183719,181649,180576,178844,177907,176049,174468,172890,171685,170561,168729,167456,165648,165237,164184,163667,161956,161093,159681,158954,157470,157142,156693,156716,156313,155721,155180,154678,155023,155566,156149,156806,157682,158286,159192,159785,160962,162050,163612,164990,166526,167318,168335,168932,169823,170205,170372,170782,171488,172221,172633,173139,173416,173963,174336,174688,174789,175271,176015,176759,176974,177258,177499,177831,178064,178345,178789,179370,180384,181261,182011,182524,183172,183924,184648,185274,185975,186831,187754,188736,189489,190369,191192,191970,192571,193086,193767,194531,195389,196184,197037,197864,198502,198890,199248,199725,200343,200842,201295,201828,202316,202772,203000,203072,203303,203627,204040,204366,204610,204918,205140,205238,205273,205293,205401,205583,205723
47,"Pennsylvania",6,95955,95863,95822,95791,95836,95867,95953,96055,96189,96289,96395,96555,96773,97042,97291,97564,97698,97861,97962,98160,98381,98693,98982,99209,99342,99456,99547,99645,99890,100179,100522,100699,100797,100858,100989,101170,101410,101635,101903,102176,102424,102685,102926,103244,103625,104056,104563,105059,105543,106016,106456,106890,107262,107651,108066,108558,109082,109601,110063,110551,111050,111498,111931,112367,112851,113330,113805,114353,114886,115456,116020,116638,117274,117900,118513,119152,119918,120699,121529,122249,123032,123829,124648,125452,126256,127147,128099,129019,129882,130765,131712,132608,133468,134283,135386,136475,137601,138728,139890,141197,142409,143715,144907,146271,147643,149120,150275,151462,152695,154030,155424,156829,158404,159913,161375,162729,164048,165224,166296,167277,168261,169251,170260,171076,171747,172260,172748,173128,173475,173887,174358,174869,175215,175516,175663,175960,176219,176427,176554,176700,176822,176774,176618,176269,175932,175473,175000,174320,173617,172983,172433,171807,171070,170292,169710,169234,168811,168357,167980,167738,167515,167379,167337,167496,167718,168027,168228,168430,168572,168640,168588,168316,167892,167220,166420,165512,164670,163878,163132,162398,161572,160769,159960,159343,158926,158714,158521,158280,157985,157655,157335,157052,156891,156829,156761,156655,156574,156514,156543,156603,156748,156940,157148,157368,157663,157981,158381,158799,159162,159499,159746,160047,160264,160505,160730,160926,160990,161025,161179,161419,161613,161728,161847,161996,162211,162382,162523,162809,163231,163766,164038,164212,164401,164734,165119,165464,165723,166137,166694,167061,167288,167374,167815,168295,168864,169301,169769,170305,171015,171502,171941,172365,173093,173867,174612,175331,176070,176883,177735,178498,179237,180085,180966,182163,183208,184198,184806,185395,185975,186633,187230,187927,188592,189329,190032,190480,190903,191400,192146,192916,193663,194333,195020,195661,196309,196898,197511
44,"Ohio",7,92463,92782,93075,93333,93620,93918,94220,94520,94830,95129,95429,95711,95998,96296,96629,96987,97296,97592,97863,98154,98457,98822,99225,99613,99940,100257,100592,100980,101376,101780,102222,102642,102994,103253,103530,103869,104217,104503,104766,105043,105374,105720,106078,106452,106912,107445,107974,108413,108872,109410,109993,110487,110930,111366,111790,112225,112641,113055,113428,113830,114219,114578,114883,115220,115576,115928,116264,116572,116859,117127,117397,117694,117985,118286,118578,118883,119165,119452,119759,120121,120495,120862,121221,121552,121909,122264,122664,123068,123539,124002,124455,124815,125171,125490,125855,126231,126593,126956,127288,127642,127921,128212,128488,128814,129137,129525,129905,130286,130623,130915,131213,131477,131783,132060,132358,132676,132977,133207,133345,133468,133589,133705,133777,133845,133865,133802,133731,133642,133552,133461,133418,133249,133018,132720,132459,132133,131813,131589,131334,130936,130530,130160,129774,129427,128997,128593,128128,127758,127348,126859,126234,125725,125107,124406,123565,122815,122254,121800,121367,120911,120478,120138,119962,119785,119697,119605,119693,119636,119575,119400,119199,118773,118280,117716,117150,116531,115867,115313,114734,114246,113606,113002,112434,112088,111812,111551,111238,110972,110765,110503,110219,110036,109956,109846,109674,109538,109509,109566,109626,109664,109733,109932,110220,110461,110727,111057,111490,111880,112265,112557,112954,113299,113591,113616,113576,113535,113603,113737,113949,114202,114356,114565,114712,115016,115394,115948,116542,117077,117527,117995,118436,118876,119294,119695,120087,120453,120784,121191,121594,122112,122584,123016,123432,123893,124428,124993,125573,126210,126908,127638,128314,128944,129614,130271,130939,131518,132269,133058,133948,134709,135418,135895,136532,137245,138237,139122,139932,140683,141321,141893,142445,143171,143915,144704,145404,146122,146678,147255,147890,148608,149303,150017,150679,151246,151803,152428,153045
30,"Michigan",8,89361,90002,90655,91248,91795,92302,92803,93356,93955,94588,95167,95773,96309,96878,97365,97940,98592,99307,100023,100659,101217,101786,102389,102979,103537,104076,104691,105313,105912,106519,107143,107771,108413,108914,109546,110151,110908,111618,112424,113202,113985,114722,115440,116164,116893,117752,118514,119331,120076,120906,121680,122524,123314,124054,124759,125538,126347,127063,127687,128278,128878,129491,130025,130544,131078,131688,132250,132746,133191,133700,134226,134771,135220,135560,135900,136192,136530,136803,137128,137472,137841,138179,138576,138851,139243,139699,140254,140764,141230,141734,142272,142759,143224,143653,144058,144535,144931,145331,145705,146154,146569,146942,147307,147679,148045,148432,148747,149100,149448,149854,150146,150372,150599,150872,151090,151268,151414,151551,151683,151715,151643,151443,151143,150892,150523,150159,149631,149082,148386,147660,146997,146364,145785,144972,144217,143227,142513,141424,140312,139016,138030,137089,135928,134496,132737,131059,129357,127670,125713,123982,122551,121178,119436,117278,115262,113313,111650,110006,108459,107270,106203,105363,104334,103565,102908,102672,102319,102125,102019,102067,102113,101733,101193,100394,99687,98906,98294,97599,97070,96396,95709,94988,94310,93834,93641,93665,93714,93706,93700,93742,93761,94023,94328,94786,95275,95911,96509,97080,97786,98579,99326,100094,101074,102204,103398,104538,105687,106928,108252,109652,110898,112074,113284,114516,115574,116375,117055,117782,118595,119292,119844,120264,120745,121280,121773,122281,122840,123557,124202,124722,125181,125685,126293,126805,127309,127903,128673,129389,130056,130539,131298,132104,133015,133921,134774,135825,136880,137853,138709,139548,140438,141448,142485,143626,144616,145440,146293,147167,148113,149098,150066,151264,152488,153726,154782,155701,156676,157662,158729,159643,160520,161274,162199,162887,163579,164159,164808,165497,166191,166951,167626,168350,169048,169826,170484,171201,171882
16,"Georgia",9,103239,103585,103951,104291,104634,104970,105337,105718,106132,106471,106859,107273,107766,108230,108650,109108,109610,110162,110689,111200,111718,112440,113096,113679,114043,114517,115059,115641,116208,116751,117317,117912,118469,118917,119396,119974,120687,121367,122062,122782,123446,124123,124780,125455,126100,126719,127450,128236,129108,129919,130724,131498,132328,133158,134020,134891,135851,136832,137646,138359,138976,139676,140336,141002,141659,142294,142897,143458,143989,144481,145018,145517,146031,146504,146989,147436,147817,148203,148600,148991,149312,149660,150010,150418,150739,151020,151281,151568,151900,152222,152526,152851,153249,153649,154067,154471,154928,155365,155763,156169,156632,157131,157667,158166,158627,159033,159428,159847,160358,160970,161631,162241,162793,163377,163953,164595,165156,165795,166394,166966,167416,167822,168285,168812,169335,169794,170209,170603,171063,171510,171932,172332,172659,172874,172925,172860,172733,172462,172152,171773,171447,170836,170060,169056,168220,167387,166486,165409,164201,163038,161743,160174,158246,156467,154791,153235,151374,149554,147886,146636,145583,144626,143616,142836,142288,141721,141101,140512,140268,140092,139734,138819,137586,136083,134783,133407,132271,131045,130036,128739,127309,125673,124228,123133,122491,122216,121970,121679,121040,120566,120077,120160,120358,120766,121189,121702,122036,122211,122427,123017,123847,124888,125981,127039,128029,129107,130282,131471,132798,134199,135638,136851,138115,139188,140243,141097,141962,142714,143415,144164,144865,145612,146296,147007,147647,148276,148877,149464,150132,150942,151817,152577,153318,154028,154703,155363,156018,156837,157641,158576,159496,160359,161064,161693,162327,162864,163565,164339,165272,166050,166897,167734,168628,169527,170566,171724,172851,174183,175461,176884,178241,179664,180991,182111,183264,184488,185824,187116,188343,189504,190681,191898,193026,194011,194811,195731,196650,197581,198365,199134,199967,200765,201536,202173,202865,203647,204592
36,"North Carolina",10,110902,111294,111738,112208,112667,113068,113545,114077,114646,115202,115745,116338,116892,117413,117839,118222,118696,119267,119711,120078,120407,120829,121194,121524,121865,122345,122883,123437,123873,124281,124750,125198,125626,125934,126333,126715,127184,127542,127890,128261,128632,129028,129377,129803,130255,130708,131244,131784,132374,132916,133452,133940,134395,134840,135307,135851,136405,136998,137413,137791,138092,138427,138746,139015,139349,139668,140017,140242,140432,140592,140787,141010,141190,141421,141633,141908,142119,142330,142519,142726,142937,143166,143400,143654,143886,144124,144323,144549,144813,145089,145342,145599,145911,146295,146683,147054,147413,147733,148093,148420,148759,149149,149586,150097,150603,151026,151523,151980,152572,153147,153847,154586,155366,156130,156950,157752,158557,159341,160119,160927,161728,162584,163397,164256,165099,165939,166701,167391,168064,168781,169408,170050,170655,171306,171944,172489,172981,173346,173616,173877,174098,174268,174292,174231,174085,173858,173490,173039,172612,172149,171644,170957,170205,169400,168819,168233,167522,166643,165807,165141,164422,163815,163313,163013,162680,162376,161919,161527,161297,161171,160946,160441,159868,159210,158600,157938,157332,156644,155963,155162,154227,153387,152726,152245,151739,151333,150809,150317,149831,149479,149217,149039,149063,148990,148861,148736,148792,148845,148950,149075,149196,149359,149522,149855,150201,150670,151168,151685,152205,152681,153222,153686,154257,154728,155218,155520,155771,155986,156181,156347,156432,156624,156846,157237,157624,158113,158601,159224,159757,160226,160663,161223,161874,162436,162938,163350,163725,164148,164661,165136,165740,166474,167389,168270,169103,169973,170827,171731,172663,173549,174365,175262,176228,177169,177984,178692,179491,180366,181443,182471,183551,184627,185747,186785,187692,188686,189718,190892,191992,193032,193877,194807,195742,196783,197632,198470,199328,200196,201060,201873,202710,203552,204451,205300,206111,206845,207717
