ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Grade 5 Students [State] 2017-18,Grade 5 Students [State] 2016-17,Grade 5 Students [State] 2015-16,Grade 5 Students [State] 2014-15,Grade 5 Students [State] 2013-14,Grade 5 Students [State] 2012-13,Grade 5 Students [State] 2011-12,Grade 5 Students [State] 2010-11,Grade 5 Students [State] 2009-10,Grade 5 Students [State] 2008-09,Grade 5 Students [State] 2007-08,Grade 5 Students [State] 2006-07,Grade 5 Students [State] 2005-06,Grade 5 Students [State] 2004-05,Grade 5 Students [State] 2003-04,Grade 5 Students [State] 2002-03,Grade 5 Students [State] 2001-02,Grade 5 Students [State] 2000-01,Grade 5 Students [State] 1999-00,Grade 5 Students [State] 1998-99,Grade 5 Students [State] 1997-98,Grade 5 Students [State] 1996-97,Grade 5 Students [State] 1995-96,Grade 5 Students [State] 1994-95,Grade 5 Students [State] 1993-94,Grade 5 Students [State] 1992-93,Grade 5 Students [State] 1991-92,Grade 5 Students [State] 1990-91,Grade 5 Students [State] 1989-90,Grade 5 Students [State] 1988-89,Grade 5 Students [State] 1987-88,Grade 5 Students [State] 1986-87,Grade 6 Students [State] 2017-18,Grade 6 Students [State] 2016-17,Grade 6 Students [State] 2015-16,Grade 6 Students [State] 2014-15,Grade 6 Students [State] 2013-14,Grade 6 Students [State] 2012-13,Grade 6 Students [State] 2011-12,Grade 6 Students [State] 2010-11,Grade 6 Students [State] 2009-10,Grade 6 Students [State] 2008-09,Grade 6 Students [State] 2007-08,Grade 6 Students [State] 2006-07,Grade 6 Students [State] 2005-06,Grade 6 Students [State] 2004-05,Grade 6 Students [State] 2003-04,Grade 6 Students [State] 2002-03,Grade 6 Students [State] 2001-02,Grade 6 Students [State] 2000-01,Grade 6 Students [State] 1999-00,Grade 6 Students [State] 1998-99,Grade 6 Students [State] 1997-98,Grade 6 Students [State] 1996-97,Grade 6 Students [State] 1995-96,Grade 6 Students [State] 1994-95,Grade 6 Students [State] 1993-94,Grade 6 Students [State] 1992-93,Grade 6 Students [State] 1991-92,Grade 6 Students [State] 1990-91,Grade 6 Students [State] 1989-90,Grade 6 Students [State] 1988-89,Grade 6 Students [State] 1987-88,Grade 6 Students [State] 1986-87,Grade 7 Students [State] 2017-18,Grade 7 Students [State] 2016-17,Grade 7 Students [State] 2015-16,Grade 7 Students [State] 2014-15,Grade 7 Students [State] 2013-14,Grade 7 Students [State] 2012-13,Grade 7 Students [State] 2011-12,Grade 7 Students [State] 2010-11,Grade 7 Students [State] 2009-10,Grade 7 Students [State] 2008-09,Grade 7 Students [State] 2007-08,Grade 7 Students [State] 2006-07,Grade 7 Students [State] 2005-06,Grade 7 Students [State] 2004-05,Grade 7 Students [State] 2003-04,Grade 7 Students [State] 2002-03,Grade 7 Students [State] 2001-02,Grade 7 Students [State] 2000-01,Grade 7 Students [State] 1999-00,Grade 7 Students [State] 1998-99,Grade 7 Students [State] 1997-98,Grade 7 Students [State] 1996-97,Grade 7 Students [State] 1995-96,Grade 7 Students [State] 1994-95,Grade 7 Students [State] 1993-94,Grade 7 Students [State] 1992-93,Grade 7 Students [State] 1991-92,Grade 7 Students [State] 1990-91,Grade 7 Students [State] 1989-90,Grade 7 Students [State] 1988-89,Grade 7 Students [State] 1987-88,Grade 7 Students [State] 1986-87,Grade 8 Students [State] 2017-18,Grade 8 Students [State] 2016-17,Grade 8 Students [State] 2015-16,Grade 8 Students [State] 2014-15,Grade 8 Students [State] 2013-14,Grade 8 Students [State] 2012-13,Grade 8 Students [State] 2011-12,Grade 8 Students [State] 2010-11,Grade 8 Students [State] 2009-10,Grade 8 Students [State] 2008-09,Grade 8 Students [State] 2007-08,Grade 8 Students [State] 2006-07,Grade 8 Students [State] 2005-06,Grade 8 Students [State] 2004-05,Grade 8 Students [State] 2003-04,Grade 8 Students [State] 2002-03,Grade 8 Students [State] 2001-02,Grade 8 Students [State] 2000-01,Grade 8 Students [State] 1999-00,Grade 8 Students [State] 1998-99,Grade 8 Students [State] 1997-98,Grade 8 Students [State] 1996-97,Grade 8 Students [State] 1995-96,Grade 8 Students [State] 1994-95,Grade 8 Students [State] 1993-94,Grade 8 Students [State] 1992-93,Grade 8 Students [State] 1991-92,Grade 8 Students [State] 1990-91,Grade 8 Students [State] 1989-90,Grade 8 Students [State] 1988-89,Grade 8 Students [State] 1987-88,Grade 8 Students [State] 1986-87,Grade 9 Students [State] 2017-18,Grade 9 Students [State] 2016-17,Grade 9 Students [State] 2015-16,Grade 9 Students [State] 2014-15,Grade 9 Students [State] 2013-14,Grade 9 Students [State] 2012-13,Grade 9 Students [State] 2011-12,Grade 9 Students [State] 2010-11,Grade 9 Students [State] 2009-10,Grade 9 Students [State] 2008-09,Grade 9 Students [State] 2007-08,Grade 9 Students [State] 2006-07,Grade 9 Students [State] 2005-06,Grade 9 Students [State] 2004-05,Grade 9 Students [State] 2003-04,Grade 9 Students [State] 2002-03,Grade 9 Students [State] 2001-02,Grade 9 Students [State] 2000-01,Grade 9 Students [State] 1999-00,Grade 9 Students [State] 1998-99,Grade 9 Students [State] 1997-98,Grade 9 Students [State] 1996-97,Grade 9 Students [State] 1995-96,Grade 9 Students [State] 1994-95,Grade 9 Students [State] 1993-94,Grade 9 Students [State] 1992-93,Grade 9 Students [State] 1991-92,Grade 9 Students [State] 1990-91,Grade 9 Students [State] 1989-90,Grade 9 Students [State] 1988-89,Grade 9 Students [State] 1987-88,Grade 9 Students [State] 1986-87,Grade 10 Students [State] 2017-18,Grade 10 Students [State] 2016-17,Grade 10 Students [State] 2015-16,Grade 10 Students [State] 2014-15,Grade 10 Students [State] 2013-14,Grade 10 Students [State] 2012-13,Grade 10 Students [State] 2011-12,Grade 10 Students [State] 2010-11,Grade 10 Students [State] 2009-10,Grade 10 Students [State] 2008-09,Grade 10 Students [State] 2007-08,Grade 10 Students [State] 2006-07,Grade 10 Students [State] 2005-06,Grade 10 Students [State] 2004-05,Grade 10 Students [State] 2003-04,Grade 10 Students [State] 2002-03,Grade 10 Students [State] 2001-02,Grade 10 Students [State] 2000-01,Grade 10 Students [State] 1999-00,Grade 10 Students [State] 1998-99,Grade 10 Students [State] 1997-98,Grade 10 Students [State] 1996-97,Grade 10 Students [State] 1995-96,Grade 10 Students [State] 1994-95,Grade 10 Students [State] 1993-94,Grade 10 Students [State] 1992-93,Grade 10 Students [State] 1991-92,Grade 10 Students [State] 1990-91,Grade 10 Students [State] 1989-90,Grade 10 Students [State] 1988-89,Grade 10 Students [State] 1987-88,Grade 10 Students [State] 1986-87,Grade 11 Students [State] 2017-18,Grade 11 Students [State] 2016-17,Grade 11 Students [State] 2015-16,Grade 11 Students [State] 2014-15,Grade 11 Students [State] 2013-14,Grade 11 Students [State] 2012-13,Grade 11 Students [State] 2011-12,Grade 11 Students [State] 2010-11,Grade 11 Students [State] 2009-10,Grade 11 Students [State] 2008-09,Grade 11 Students [State] 2007-08,Grade 11 Students [State] 2006-07,Grade 11 Students [State] 2005-06,Grade 11 Students [State] 2004-05,Grade 11 Students [State] 2003-04,Grade 11 Students [State] 2002-03,Grade 11 Students [State] 2001-02,Grade 11 Students [State] 2000-01,Grade 11 Students [State] 1999-00,Grade 11 Students [State] 1998-99,Grade 11 Students [State] 1997-98,Grade 11 Students [State] 1996-97,Grade 11 Students [State] 1995-96,Grade 11 Students [State] 1994-95,Grade 11 Students [State] 1993-94,Grade 11 Students [State] 1992-93,Grade 11 Students [State] 1991-92,Grade 11 Students [State] 1990-91,Grade 11 Students [State] 1989-90,Grade 11 Students [State] 1988-89,Grade 11 Students [State] 1987-88,Grade 11 Students [State] 1986-87,Grade 12 Students [State] 2017-18,Grade 12 Students [State] 2016-17,Grade 12 Students [State] 2015-16,Grade 12 Students [State] 2014-15,Grade 12 Students [State] 2013-14,Grade 12 Students [State] 2012-13,Grade 12 Students [State] 2011-12,Grade 12 Students [State] 2010-11,Grade 12 Students [State] 2009-10,Grade 12 Students [State] 2008-09,Grade 12 Students [State] 2007-08,Grade 12 Students [State] 2006-07,Grade 12 Students [State] 2005-06,Grade 12 Students [State] 2004-05,Grade 12 Students [State] 2003-04,Grade 12 Students [State] 2002-03,Grade 12 Students [State] 2001-02,Grade 12 Students [State] 2000-01,Grade 12 Students [State] 1999-00,Grade 12 Students [State] 1998-99,Grade 12 Students [State] 1997-98,Grade 12 Students [State] 1996-97,Grade 12 Students [State] 1995-96,Grade 12 Students [State] 1994-95,Grade 12 Students [State] 1993-94,Grade 12 Students [State] 1992-93,Grade 12 Students [State] 1991-92,Grade 12 Students [State] 1990-91,Grade 12 Students [State] 1989-90,Grade 12 Students [State] 1988-89,Grade 12 Students [State] 1987-88,Grade 12 Students [State] 1986-87
ALABAMA,57928,55798,55340,55265,55699,56523,58415,59897,58656,57955,57017,56326,57115,57293,58853,59156,59698,60123,58381,57436,57360,56550,57142,57923,58098,58970,59255,60227,57958,57035,56996,53977,55711,55256,54900,54859,56428,58240,59082,59157,58231,57328,56749,57483,58438,59406,59799,60464,60546,58825,57703,57689,57154,57332,58704,58719,59400,59929,61091,58794,57601,57592,55025,56059,55600,55270,55172,56251,58455,59685,59050,59242,58118,57910,58810,59802,61130,61450,61854,61950,60194,59219,58969,58681,59488,60302,61122,61765,62144,62904,60915,59962,60174,57789,59245,60804,55226,55055,55792,57471,58799,58151,57919,57992,57027,57809,58792,59573,59643,59286,59663,57576,56591,56951,56201,57105,58210,58305,59914,59165,60004,58025,56607,57024,54912,55262,56472,57261,57301,58792,60507,61876,62069,61642,61412,62615,63338,64681,65355,64943,65192,64569,62718,61646,61038,60463,61150,62724,63707,64205,65299,63656,62141,60590,60210,57318,58333,58543,59480,62612,55318,57037,57689,57113,56144,56229,55908,57644,57794,56559,55502,55864,55492,53604,53695,52543,51525,51991,52304,52731,52780,52848,53780,50929,50543,50629,48417,49923,49868,51114,53174,56014,53920,54489,53318,52150,51527,50387,50785,51962,50199,49587,49884,49690,48278,47538,47489,46449,46138,46392,46015,46218,47389,48417,46780,44970,46067,44000,45179,45437,46330,47873,49834,50731,52848,52320,50668,49929,48965,48945,49510,49719,48164,46763,46200,44471,43452,42672,42005,45521,42909,42512,42576,43957,44272,42510,40981,41730,39900,41167,41725,42031,43482,45571,45742,45396
ALASKA,10229,10116,9793,9642,9543,9677,9891,9988,9864,9507,9527,9510,9679,10048,10169,10775,10787,10743,10555,10528,10185,10268,10112,10086,9809,9896,9407,9056,8492,8151,7995,7875,10007,9750,9648,9456,9518,9844,9901,9933,9567,9441,9475,9718,10042,10151,10907,10899,10941,10624,10574,10399,10298,10176,9870,9674,9817,9542,9213,8665,8143,7826,7580,7580,9741,9620,9512,9470,9736,9834,9924,9636,9657,9640,9821,10154,10276,10886,11095,11203,10967,10862,10683,10932,10542,10115,9845,9943,9852,9392,8892,8466,8039,7650,7411,7516,9478,9410,9400,9653,9677,9806,9527,9622,9626,9673,9953,10155,10793,10857,11140,10840,10702,10377,10575,10497,9954,9627,9573,9503,9160,8789,8430,7967,7572,7184,7278,7313,9584,9615,9869,9908,9904,9724,9833,10023,10112,10475,10719,11337,11405,11934,11803,11881,11734,11582,11568,11442,10671,10621,10263,9947,9608,9187,8449,8114,7545,7468,7549,7872,9285,9569,9632,9522,9284,9415,9546,9723,10072,10200,10639,10839,11035,10664,10623,10219,10147,10110,10217,9749,9561,9426,9045,8692,8514,7889,7670,7306,7109,7085,7181,7894,9503,9649,9536,9330,9542,9585,9813,10725,10874,10937,10599,10226,10045,9625,9161,9074,9240,8887,8624,8800,8471,8140,7765,7642,7250,7057,6816,6700,6526,6559,7094,7423,9882,9740,9651,9671,9500,9696,9918,9643,9779,9787,10092,10039,9578,8766,8651,8810,8340,8335,8381,8403,7771,7370,7111,7057,6975,6714,6621,6486,6402,6851,7160,6753
ARIZONA,88849,88101,85719,85172,84535,83093,83185,82690,83193,82347,82499,82014,79659,77929,75757,72820,74464,72371,67853,66336,63429,63375,59894,58579,58110,54630,52953,51912,48580,43713,43353,37402,87512,87055,85202,85032,83495,83540,83150,82305,81987,82021,83078,81214,80391,77592,77508,73351,74408,69828,67086,64938,64243,62791,58281,58791,57242,53832,51882,49763,45190,42508,41104,37587,86544,86762,85222,84435,84315,83568,82879,81445,82050,82894,81611,82121,80393,79811,77943,73453,72303,69110,66236,66648,64019,62140,58829,58676,55834,52793,50528,47832,45518,41345,41305,38364,86287,86312,84084,84596,83849,82769,81294,80636,82163,81576,81196,80769,80683,78595,76376,69841,69643,65526,65338,63943,60138,60514,56407,55334,53500,49081,47200,45802,42172,39317,40269,38060,86236,85960,85281,85031,83995,82291,82089,82304,82461,83831,84030,84086,99040,91860,87576,79777,72859,70727,68646,67476,66357,64566,59346,59150,54878,51426,49038,46369,44106,43002,43183,44263,83999,85327,83730,83033,81410,80074,80788,79842,80281,80200,80655,79927,92746,82536,79320,71165,67117,63765,60489,60333,58472,56109,52654,51564,48281,46790,43323,42359,40525,39886,40840,43003,78514,80948,79714,78575,77448,77518,76751,76275,75372,75282,75416,73175,83935,75259,71561,65222,57782,52940,51771,51245,48676,47573,43547,43363,41964,39584,37828,37043,35670,37050,38951,39685,84330,86960,84854,84913,84291,81751,81179,81326,79283,76735,76275,71388,79180,71035,68815,60820,52162,49501,47907,45813,44259,42041,39197,40119,37614,37410,36122,34645,35618,36962,36513,35777
ARKANSAS,38844,35930,35850,36153,36146,36569,36856,36628,36489,35824,35588,35058,34623,34457,34265,35467,35774,35924,35020,34211,33695,34270,34875,34620,34834,34740,34704,34822,33829,32648,32686,32189,36305,36055,36020,36037,36564,36727,36592,36591,35958,35690,35057,34793,35281,34740,35831,36109,36124,35416,34397,34183,34451,35288,35104,35024,35107,35017,34999,33913,32814,32865,32110,32307,36431,36515,36245,36822,36876,36693,36832,36306,36113,35587,35502,36009,36098,36881,37165,36894,36284,35562,35267,35570,36585,36779,37023,36795,36892,37448,35797,34729,34609,33580,33743,34341,36631,36351,36882,36788,36660,36607,36339,36237,35715,35387,35944,36026,37279,37369,37004,36102,35372,34873,35403,35936,36229,37064,36696,36437,36471,36011,34527,34384,33353,33461,33810,34053,37758,38327,38044,38157,37934,37978,38078,37807,37556,37627,37819,38937,38952,38279,37301,36395,35894,36078,36657,36378,37038,37160,37005,36689,36045,33518,33693,32696,32731,33009,33489,34501,37245,36829,36951,36749,36447,36343,35729,35280,35523,35853,36781,37233,37331,35794,35343,34386,34418,34958,35081,35264,35333,35335,35209,34158,32711,32700,31583,31649,31965,32169,33337,35025,35387,35048,34862,34319,34158,33373,32711,32739,32567,33460,33613,33902,32603,31928,31228,31658,32257,31557,31839,31742,31874,31889,30566,29429,29876,29244,29389,29424,29597,30746,32346,31354,33097,32881,32385,32428,31646,30734,30441,30330,30567,30256,30708,29617,29351,28640,28840,29277,28849,28918,29316,29123,29204,27613,27083,27161,27169,27651,27544,27734,28505,30074,29499,28729
CALIFORNIA,472202,487493,476427,472156,469645,462439,452305,469800,460248,467278,470021,478821,485857,492895,492523,488150,491274,490557,464380,451602,434280,427682,424838,416333,413420,410701,401538,384483,358578,339997,330395,314258,486261,475809,471467,469413,462125,463024,466942,467271,461373,469183,478685,485405,489656,491264,490081,495238,493218,464494,451810,433720,426302,423701,413776,409387,405416,399776,386807,363538,347629,335443,319686,308678,477308,473574,470753,464286,465592,470054,464260,463505,466893,479359,487331,493306,491516,492879,500404,500138,472363,458823,439075,431003,426245,416268,409978,403367,398553,388439,370964,359008,349524,330437,321898,312983,474828,472340,465322,467038,472381,465967,467626,476639,472856,486390,490054,491871,489560,498806,500143,473553,461133,441877,431730,424768,412604,406456,399039,388561,380223,363296,355168,347479,330967,318856,311579,304787,495277,487548,487202,495004,491493,497945,501073,510011,524681,539167,541650,545466,546914,549463,528564,522108,499505,485910,482355,468162,458650,450820,437974,420643,406551,396482,398734,381573,367444,356732,345654,348672,483745,486085,488004,480753,484993,487566,494739,502452,506192,509157,513707,517813,515681,497197,490214,471648,459588,455134,444161,433528,423865,413725,396020,381364,375992,375327,370635,361594,349715,338871,345144,363756,475696,481521,472968,477097,477425,482903,487113,488530,487688,489207,488227,487440,467241,459125,440546,428117,420295,409119,401348,390742,378819,362404,343419,334408,333716,329527,324395,315322,309689,313982,332980,341809,489221,484169,492835,496901,498403,496754,494144,492545,478503,476156,468281,443253,423241,409576,395194,385181,365907,357789,347914,334852,317595,298669,287428,285132,277271,270675,260693,244142,243023,257450,266028,251281
COLORADO,69821,68757,67230,66613,66326,64727,64089,63328,61547,60093,58219,57906,57109,56901,57662,58895,58318,57404,55156,54068,53377,53400,52646,51311,51307,50165,47962,45685,43471,41272,40805,39908,69321,67638,67115,67032,65161,64448,63492,61755,60631,58993,58231,57850,57673,58298,59013,58906,58213,56330,54957,54053,54004,52942,51856,51775,50619,48686,46531,43899,41401,40698,39316,39878,67899,67541,67471,65641,64808,63658,62153,60928,59669,58972,58369,58388,59005,59548,59352,58973,57494,56139,54856,54589,53406,52486,52282,51103,49168,47626,44823,42201,41056,40163,39752,39895,67854,67659,65957,65116,63820,62260,61156,59684,59129,58733,58396,59497,59929,59397,58897,57664,56540,55384,54599,53556,52632,52269,51180,49332,47665,45025,42334,41075,39697,39524,38541,40066,70017,68476,67759,66612,64753,63859,62358,62258,64106,63779,63333,64754,63818,64446,63312,63076,62756,61197,58710,58265,56644,55219,52472,50078,47344,45363,44345,42553,42278,41346,42018,44478,67140,66463,65603,63695,62510,60842,60662,60775,60394,60554,60702,60272,59962,57678,56844,55938,54862,54006,52548,51622,50972,49058,47128,44702,42536,41844,40656,39863,38630,39464,41889,44794,65136,64317,62230,61335,59281,58847,58993,58307,57964,57870,56772,56037,54353,52770,52288,51593,50459,49237,47725,47173,45380,44244,41751,39956,39610,38559,38164,36614,37391,38819,42006,42543,68112,66244,65317,63001,62836,62503,61398,60899,58526,55936,55334,53922,51818,50387,48924,46790,44912,43502,41999,40076,39263,37179,35480,35464,34770,34533,33108,33582,34799,37538,39231,37327
CONNECTICUT,40145,39417,39678,39843,40857,40196,41078,41550,41726,42387,42136,42910,42683,43686,44259,44776,45243,45562,44712,43559,41935,41354,40650,39693,37639,37138,36476,35313,34051,32902,31986,30914,39621,39820,39931,40856,40058,40979,41431,41930,42507,42137,42864,42920,43533,44457,45245,44714,45879,44536,43524,42167,41267,40511,39468,38110,37007,36294,35273,34220,32948,32325,30877,31309,40142,40119,40996,40200,41123,41533,41964,42616,42305,43033,43041,43766,44510,45136,45333,45882,45254,44096,42725,41837,40650,39816,38253,37577,36127,35526,34524,33458,32737,31757,31984,32112,40310,41128,40320,41165,41460,42020,42511,42346,42999,43027,43670,44609,44680,45072,45854,44422,43954,42597,41205,40254,39089,37991,37320,35665,34662,33691,32968,32382,31127,31713,31729,32229,43232,43024,43819,44630,45055,45166,45140,45908,46385,47216,48472,48579,49070,49177,48643,46840,46621,45525,43977,43140,41713,41003,39380,38001,36481,35796,35258,33381,33185,33688,34707,37191,41092,41741,41962,42367,42211,42144,43145,43573,43836,44485,44526,44980,45266,44580,43547,42488,41778,40608,39273,37682,36746,35800,34797,33780,32802,32767,31895,31186,31306,31825,34202,37775,40616,40679,40954,40775,40997,42192,42098,42209,42754,42536,42667,43451,42356,41124,39990,38638,37511,37010,35160,34058,32753,32068,31198,30760,30393,29988,30083,29289,29491,31247,35480,37293,40802,40831,40321,40018,40775,40743,40677,41381,41029,40743,40927,40027,38662,38340,37229,36059,34301,32591,31670,30437,29660,28882,28282,28640,27979,28366,28339,27859,29186,32164,34805,34742
DELAWARE,10754,10683,10352,10291,10209,9619,9900,9897,9511,9241,8963,9039,9059,9172,9204,9091,8900,8643,8555,8834,8405,8618,8362,8402,8335,8311,8269,7892,7633,7072,6786,6422,10498,10482,10251,10414,9965,9699,9887,9847,9562,9265,9177,9306,9532,9491,9439,9306,9135,8841,9014,8693,8746,8610,8520,8416,8302,8342,8136,7680,7178,6965,6570,6591,10362,10323,10314,10138,9990,9983,9758,9718,9460,9536,9492,9897,9858,9866,9729,9602,9217,9541,9179,9322,9085,8942,8883,8788,8738,8519,8175,7647,7437,7095,7068,6865,10216,10299,10090,10035,9993,9716,9569,9504,9519,9908,10176,10262,10492,10494,10222,9961,9396,9075,8957,8964,8905,8820,8566,8563,8265,8012,7503,7256,6934,6857,6711,6880,11806,11584,11387,11733,11418,11056,11168,11416,11726,11755,11479,11785,11638,11249,11009,10409,10602,10628,10150,10453,10259,10057,10112,9469,8930,8519,8085,7869,7827,7651,7684,8103,10476,10488,10536,10003,9718,9670,9809,10147,10321,9953,10028,9770,9279,9081,8782,8797,9032,8887,8618,8861,8807,8956,8325,7979,7867,7521,7365,7424,7121,7062,7576,8145,9521,9431,9140,8922,8811,8931,8775,9097,8727,8791,8367,8221,7826,7772,7687,7737,7595,7256,7304,7223,7381,7108,6785,6681,6251,6169,6238,5862,5847,6272,6818,6734,9100,9001,8782,8688,8536,8365,8570,8464,8317,8120,7681,7482,7555,7390,7292,7178,7028,7104,6490,6770,6741,6447,6211,5865,5882,6129,5953,5897,6314,6807,6867,6621
DISTRICT OF COLUMBIA,6159,5596,5250,4792,4648,4575,4816,4825,4513,4690,4793,4668,4976,5579,6030,5869,5515,5281,5584,4608,4850,5332,5332,5457,5435,5524,5596,5593,5691,5669,5803,5595,5270,5024,4703,4598,4452,4627,4560,4391,4520,4521,4896,4459,5245,5563,5834,5606,4945,4777,4539,4175,4713,4742,4980,4978,5211,5161,5026,5145,5165,5434,5303,5322,4971,4655,4603,4412,4617,4559,4248,4439,4394,4584,4912,4941,5412,5576,5626,5144,4261,3766,4331,4557,4802,4875,5052,5244,5394,5333,5404,5493,5562,5930,5987,6303,4567,4557,4430,4525,4425,4202,4328,4307,4452,4540,5182,4826,5196,5189,5158,4605,3662,3371,4408,4083,4376,4625,4749,5031,4935,5000,4976,5172,5119,5342,5710,6085,6085,6501,6522,6203,6116,6275,6050,5858,6181,6334,7099,6508,6141,6285,5656,4871,4012,4207,5289,4387,4913,4951,5159,4923,5003,5068,4947,4958,4852,5390,5665,5884,4725,4607,4417,4171,4448,4245,4313,4516,4431,4390,5028,4391,5333,4804,4585,3963,3584,3606,4113,3786,4473,4554,4896,4904,5403,5382,5452,5221,5801,5927,5650,6193,4259,4144,4078,3839,3827,3740,3708,3851,3684,3723,4113,4047,4118,3816,3616,3532,3119,3183,3550,3187,3549,3694,3700,3920,4145,4290,4108,4298,4518,4951,5391,5706,4104,3800,3867,3421,3326,3317,3190,3407,3301,3444,4002,3367,3177,2820,2971,3008,2815,2785,2897,2572,2961,3042,2972,3203,3303,3433,3415,3481,3778,4346,4806,4230
FLORIDA,215793,217601,206157,201817,197996,197412,202733,200738,198980,195401,199002,195574,200761,184067,199035,197060,197495,192575,188093,182770,177260,175623,175358,170397,166144,160327,153373,144778,137171,124848,120423,114901,219942,209332,206055,201637,200499,204704,204229,202303,198789,201741,199662,204683,193623,208251,205864,205095,202978,197293,189813,183929,181704,179951,174079,169061,163447,155932,148760,139866,130179,126533,119972,118947,210658,208241,204343,202115,207253,205469,204288,200147,202584,199100,204170,195354,210099,209848,209016,206774,202100,194909,186536,183976,181657,176413,171381,165542,157906,150803,144717,136337,133356,127685,127935,130072,211073,208336,206785,210397,206698,204116,200378,201676,198245,200736,193970,207213,208413,209559,205443,201159,194250,185663,181574,179066,173913,169657,163521,155852,149054,142372,135365,133621,127763,127642,128022,126414,219313,218689,224319,221483,219016,215693,218469,214993,219705,217105,233376,240337,245587,250263,253565,249877,248764,238825,223743,214459,203561,193153,182980,172947,164978,154379,152073,148396,145727,144216,142768,145470,216578,220866,217636,213309,206599,206662,203907,205142,199162,207296,213074,212588,212560,202437,191640,184325,172935,170385,177234,171405,168060,161606,154030,147942,140271,138837,135114,134193,131999,130426,135151,136424,212640,210345,204941,198912,197997,194054,195307,186399,192433,189619,194670,189074,185937,179028,165283,158509,150752,145900,138667,135021,133774,128822,126183,119913,119674,117506,117121,114293,112121,114622,117937,114825,202952,197881,192877,189545,183422,183193,174371,178315,172321,167705,169832,162952,157545,149810,144764,137939,130613,119809,116259,112724,108366,105469,99519,100720,100646,100835,100210,94776,96639,99659,97109,89663
